Ticker,Date,AUM_USD,AvgVolume
IWD,2026-05-18,74264879104,3217042
IWF,2026-05-18,124668968960,11030132
IWN,2026-05-18,13433325568,779913
EFA,2026-05-18,75608719360,21113972
SCZ,2026-05-18,14390466560,1945986
EEM,2026-05-18,28104833024,38702460
TIP,2026-05-18,14751854592,2445793
SHY,2026-05-18,25083643904,4912381
TLT,2026-05-18,42905042944,33212062
LQD,2026-05-18,30921228288,39931519
HYG,2026-05-18,16952033280,53716972
BWX,2026-05-18,1528758400,829704
EMB,2026-05-18,14508038144,10193945
BIZD,2026-05-18,1622104832,4368831
BKLN,2026-05-18,6758600192,19974622
USO,2026-05-18,1942278400,35046362
DBA,2026-05-18,1248400384,1696590
GLD,2026-05-18,153509937152,10929300
